poi,path,shootingDate,shooter,description,note,fid,mid_thumbnail,small_thumbnail
"1076",./images/1076/IMG_2776.jpg,2021/08/10 12:29:43,Kohei Otsuka,岡里青面金剛三猿庚申,,"421",./mid_thumbs/1076/IMG_2776.jpg,./small_thumbs/1076/IMG_2776.jpg
"1076",./images/1076/IMG_2778.jpg,2021/08/10 12:30:08,Kohei Otsuka,岡里青面金剛三猿庚申,,"422",./mid_thumbs/1076/IMG_2778.jpg,./small_thumbs/1076/IMG_2778.jpg
"1077",./images/1077/IMG_2767.jpg,2021/08/10 12:19:55,Kohei Otsuka,岡里倉持家屋敷庚申,,"423",./mid_thumbs/1077/IMG_2767.jpg,./small_thumbs/1077/IMG_2767.jpg
"1077",./images/1077/IMG_2768.jpg,2021/08/10 12:20:05,Kohei Otsuka,岡里倉持家屋敷庚申,,"424",./mid_thumbs/1077/IMG_2768.jpg,./small_thumbs/1077/IMG_2768.jpg
"1080",./images/1080/IMG_2847.jpg,2021/08/10 13:12:50,Kohei Otsuka,本郷青面金剛,,"425",./mid_thumbs/1080/IMG_2847.jpg,./small_thumbs/1080/IMG_2847.jpg
"1080",./images/1080/IMG_2848.jpg,2021/08/10 13:12:58,Kohei Otsuka,本郷青面金剛,,"426",./mid_thumbs/1080/IMG_2848.jpg,./small_thumbs/1080/IMG_2848.jpg
"1080",./images/1080/IMG_2849.jpg,2021/08/10 13:13:10,Kohei Otsuka,本郷青面金剛,,"427",./mid_thumbs/1080/IMG_2849.jpg,./small_thumbs/1080/IMG_2849.jpg
"1080",./images/1080/IMG_2846.jpg,2021/08/10 13:12:38,Kohei Otsuka,本郷青面金剛,,"428",./mid_thumbs/1080/IMG_2846.jpg,./small_thumbs/1080/IMG_2846.jpg
"1155",./images/1155/IMG_2860.jpg,2021/08/10 13:19:45,Kohei Otsuka,山王日限地蔵前庚申,,"429",./mid_thumbs/1155/IMG_2860.jpg,./small_thumbs/1155/IMG_2860.jpg
"1155",./images/1155/IMG_2861.jpg,2021/08/10 13:20:16,Kohei Otsuka,山王日限地蔵前庚申,,"430",./mid_thumbs/1155/IMG_2861.jpg,./small_thumbs/1155/IMG_2861.jpg
